id	ref	cat3	slug
12189	TPS 0020 G2	classiques	timbale-premier-concert-nouvelle-generation-20pouces-cuivre-lisse-parabolique
12351	TPS 0029 G2	classiques	timbale-premier-concert-29pouces-cuivre-lisse-parabolique-nouvelle-generation
12379	TPS 0032 G2	classiques	timbale-premier-concert-32pouces-cuivre-lisse-parabolique-nouvelle-generation
12380	TPS 0026 G2	classiques	timbale-premier-concert-26pouces-cuivre-lisse-parabolique-nouvelle-generation
12381	TPS 0023 G2	classiques	timbale-premier-concert-23pouces-cuivre-lisse-parabolique-nouvelle-generation
12491	TPS 1032 G2	classiques	timbale-premier-concert-nouvelle-generation-32pouces-fibre-de-verre-parabolique
12492	TPS 1026 G2	classiques	timbale-premier-concert-nouvelle-generation-26pouces-fibre-de-verre-parabolique
12493	TPS 1029 G2	classiques	timbale-premier-concert-nouvelle-generation-29pouces-fibre-de-verre-parabolique
12494	TPS 1023 G2	classiques	timbale-premier-concert-nouvelle-generation-23pouces-fibre-de-verre-parabolique
12495	TPS 1020 G2	classiques	timbale-premier-concert-nouvelle-generation-20pouces-fibre-de-verre-parabolique
12574	TAPR CP-J4	classiques	jeu-de-4-timbales-adams-professionnel-generation-ii-23-26pouces-29-32pouces-cuivre-martele-parabolique
12575	TAUN CL-J3	classiques	jeu-de-3-timbales-adams-universel-26-29pouces-32pouces-cuivre-lisse-parabolique
12577	TMH F0-J2	classiques	jeu-de-3-timbales-majestic-harmonic-fibre-de-verre-20pouces
12580	LO TPE-CL-J4	classiques	jeu-de-4-timbales-premier-elite-25-28pouces-30-32pouces-cuivre-lisse-parabolique
12997	TY33 3332EA	classiques	yamaha-timbale-serie-3300-32pouces-aluminium
14092	TAC 0720	accessoires	adams-4trtnpasrv20-sac-de-transport-timbale-adams-revolution-20pouces
14094	TAC 0726	accessoires	adams-4trtnpasrv26-sac-de-transport-timbale-adams-revolution-26pouces
14096	TAC 0729	accessoires	adams-4trtnpasrv29-sac-de-transport-timbale-adams-revolution-29pouces
14097	TAC 0732	accessoires	adams-4trtnpasrv32-sac-de-transport-timbale-adams-revolution-32pouces
14123	TASY CP-J4	classiques	lot-de-4-timbales-adams-symphonic-ii-23-26pouces-29-32pouces-cuivre-martele-profond
14124	TARE FV-J2	classiques	lot-de-2-timbales-adams-revolution-26-29pouces-fibre-de-verre-parabolique
