id	ref	cat2	cat3	slug
985	COW 2111 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-mambo-l11-5-cm
987	COW 2116 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-mambo-l16-cm
988	COW 2120 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-mambo-l20-cm
989	CPA FR20 06	metaux	cymbales	cymbales-paiste-flat-ride-serie-20-pouces-51-cm
1003	CRE 1001 06	instruments-effets	crecelles-vibraslaps-flexatones	crecelle-attache
1007	CRO 1921 06	metaux	crotales	jeu-de-crotales-paiste-2-octaves-grave-fa6-fa8
1008	CRO 1922 06	metaux	crotales	jeu-de-crotales-paiste-2-octaves-grave-do6-do8
1010	CRO 211A 06	metaux	crotales	crotale-zildjian-grave-la-6
1013	CRO 211AD06	metaux	crotales	crotale-zildjian-grave-la6
1016	CRO 211B 06	metaux	crotales	crotale-zildjian-grave-si6
1019	CRO 211C 06	metaux	crotales	crotale-zildjian-grave-do-6
1022	CRO 211CD06	metaux	crotales	crotale-zildjian-grave-do-6
1025	CRO 211D 06	metaux	crotales	crotale-zildjian-grave-re-6
1028	CRO 211DD06	metaux	crotales	crotale-zildjian-grave-re-6
1031	CRO 211E 06	metaux	crotales	crotale-zildjian-grave-mi-6
1034	CRO 211F 06	metaux	crotales	crotale-zildjian-grave-fa-6
1037	CRO 211FD06	metaux	crotales	crotale-zildjian-grave-fa-6
1040	CRO 211G 06	metaux	crotales	crotale-zildjian-grave-sol-6
1043	CRO 211GD06	metaux	crotales	crotale-zildjian-grave-sol-6
1046	CRO 212A 06	metaux	crotales	crotale-zildjian-aigu-la-7
1049	CRO 212AD06	metaux	crotales	crotale-zildjian-aigu-la-7
1052	CRO 212B 06	metaux	crotales	crotale-zildjian-aigu-si-7
1055	CRO 212C 06	metaux	crotales	crotale-zildjian-aigu-do-7
1058	CRO 212CD06	metaux	crotales	crotale-zildjian-aigu-do-7
1061	CRO 212D 06	metaux	crotales	crotale-zildjian-aigu-re-7
1064	CRO 212DD06	metaux	crotales	crotale-zildjian-aigu-re-7
1067	CRO 212E 06	metaux	crotales	crotale-zildjian-aigu-mi-7
1070	CRO 212F 06	metaux	crotales	crotale-zildjian-aigu-fa-7
1073	CRO 212FD06	metaux	crotales	crotale-zildjian-aigu-fa7
1076	CRO 212G 06	metaux	crotales	crotale-zildjian-aigu-sol-7
1079	CRO 212GD06	metaux	crotales	crotale-zildjian-aigu-sol-7
1082	CRO 213C 06	metaux	crotales	crotale-zildjian-aigu-do-8
1085	CRO 29G442	metaux	crotales	jeu-de-crotales-zildjian-octave-grave-do-do-accord-442
1087	CRO 29A442	metaux	crotales	jeu-de-crotales-zildjian-octave-aigue-do-do-accord-442
1105	CVA 011A 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-contrebasse-la
1106	CVA 011AD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-contrebasse-la
1107	CVA 011B 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-contrebasse-si
1108	CVA 011F 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-contrebasse-fa
1109	CVA 011FD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-contrebasse-fa
1110	CVA 011G 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-contrebasse-sol
1111	CVA 011GD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-contrebasse-sol
1112	CVA 012A 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-la
1113	CVA 012AD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-la
1114	CVA 012B 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-si
1115	CVA 012C 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-do
1116	CVA 012CD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-do
1117	CVA 012D 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-re
1118	CVA 012DD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-re
1119	CVA 012E 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-mi
1120	CVA 012F 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-fa
1121	CVA 012FD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-fa
1122	CVA 012G 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-sol
1123	CVA 012GD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-basse-sol
1124	CVA 013A 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-la
1125	CVA 013AD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-la
1126	CVA 013B 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-si
1127	CVA 013C 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-do
1128	CVA 013CD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-do
1129	CVA 013D 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-re
1130	CVA 013DD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-re
1131	CVA 013E 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-mi
1132	CVA 013F 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-fa
1133	CVA 013FD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-fa
1134	CVA 013G 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-sol
1135	CVA 013GD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-medium-sol
1136	CVA 014A 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-la
1137	CVA 014AD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-la
1138	CVA 014B 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-si
1139	CVA 014C 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-do
1140	CVA 014CD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-do
1141	CVA 014D 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-re
1142	CVA 014DD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-re
1143	CVA 014E 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-mi
1144	CVA 014F 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-fa
1145	CVA 014FD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-fa
1146	CVA 014G 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-sol
1147	CVA 014GD06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-sol
1148	CVA 015C 06	metaux	cloches-vache-cencerros-cloche-latines	cloche-a-vache-accordee-aigue-do
1149	CVA 0901 06	metaux	cloches-vache-cencerros-cloche-latines	jeux-chromatique-cloches-a-vache-contrebasse
1150	CVA 0902 06	metaux	cloches-vache-cencerros-cloche-latines	jeux-chromatique-cloches-a-vache-basse
1151	CVA 0903 06	metaux	cloches-vache-cencerros-cloche-latines	jeux-chromatique-cloches-a-vache-medium
1152	CVA 0904 06	metaux	cloches-vache-cencerros-cloche-latines	jeux-chromatique-cloches-a-vache-aigue
1166	CYB 0015 06	metaux	cymbales	cymbalette-chinoise-15-cm
1167	CYB 0017 06	metaux	cymbales	cymbalette-chinoise-6-pouces-1-2
1168	CYB 0018 06	metaux	cymbales	cymbalette-chinoise-7-pouces
1169	CYB 2207 06	metaux	crotales	une-paire-de-crotales-tibetaines-7-cm
1178	CYC 1030 06	metaux	cymbales	cymbale-chinoise-wu-han-12-pouces
1181	CYC 1035 06	metaux	cymbales	cymbale-chinoise-wu-han-14-pouces
1185	CYC 1040 06	metaux	cymbales	cymbale-chinoise-wu-han-16-pouces
1188	CYC 1045 06	metaux	cymbales	cymbale-chinoise-wu-han-18-pouces
1192	CYC 1050 06	metaux	cymbales	cymbale-chinoise-wu-han-20-pouces
1194	CYC 1055 06	metaux	cymbales	cymbale-chinoise-wu-han-22-pouces
1196	CYC 1060 06	metaux	cymbales	cymbale-chinoise-wu-han-24-pouces
1200	CZA SP10 06	metaux	cymbales	cymbales-zildjian-splash-10pouces
1201	CZA SP12 06	metaux	cymbales	cymbale-zildjian-splash-12-pouces-30-cm-avec-pied
1209	CZF 0F18 06	metaux	cymbales	cymbales-d-orchestre-zildjian-francaises-18-pouces
1210	CZF 0F20 06	metaux	cymbales	cymbales-d-orchestre-zildjian-francaises-20-pouces
1211	CZG 0F18 06	metaux	cymbales	cymbales-orchestre-zildjian-symphonic-allemande-d18pouces
1212	CZG 0F20 06	metaux	cymbales	cymbales-orchestre-zildjian-symphonic-allemande-d20pouces
1214	CZK KH14 06	metaux	cymbales	cymbale-de-batterie-zildjian-serie-k-hit-hat-14-pouces
1216	CZK RI20 06	metaux	cymbales	cymbale-de-batterie-zildjian-serie-k-ride-20-pouces
1219	CZV 0F18 06	metaux	cymbales	cymbales-d-orchestre-zildjian-viennoises-18-pouces
1220	CZV 0F20 06	metaux	cymbales	cymbales-d-orchestre-zildjian-viennoises-20-pouces
1223	DAR 7115 06	instruments-peaux	djembes-darboukas-tablas	darbouka-6-pouces-fut-aluminium-lisse
1224	DAR 7117 06	instruments-peaux	djembes-darboukas-tablas	darbouka-7-pouces-fut-aluminium-lisse
1226	DAR 7121 06	instruments-peaux	djembes-darboukas-tablas	darbouka-8-pouces-fut-aluminium-lisse
1237	DJE 1101 06	instruments-peaux	djembes-darboukas-tablas	djembe-meinl-12-pouces-serie-hevea
1797	FLX 0001 06	instruments-effets	crecelles-vibraslaps-flexatones	flexatone-lp-grand-modele
