id	ref	cat3	slug	page_title
7912	XYL 40CO6002G	xylophones	xylophone-concorde-6002ga-4-octaves-palissandre	Xylophone CONCORDE  4 octaves do4-do8, Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
7918	XYL 40CO8002G	xylophones	xylophone-concorde-8002ga-4-octaves-palissandre	Xylophone CONCORDE  4 octaves do4-do8, Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
7942	XYL 35YA500R	xylophones	xylophone-yamaha-yx-500r-modele-professionnel	Xylophone YAMAHA  3 octaves 1/2 fa4-do8, Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
7943	MAR 50SA5500	marimbas	marimba-saito-msk5500-5-octaves	Marimba SAITO MSK5500 5 octaves, Palissandre du Honduras - Marimbas - Instruments de percussion
7944	MAR 43SA60R	marimbas	marimba-saito-ms60r-4-octaves-1-3-palissandre	Marimba SAITO 60R 4 octaves 1/3, Palissandre du Honduras - Marimbas - Instruments de percussion
7946	MAR 43SA55P	marimbas	marimba-saito-ms55p-4-octaves-1-3-padouk	Marimba SAITO 55P 4 octaves 1/3, Padouk - Marimbas - Instruments de percussion
7947	XYL 40SA90	xylophones	xylophone-saito-sx90-4-octaves-palissandre	Xylophone SAITO  4 octaves do4-do8, Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
7948	VIB 43SA4300	vibraphones	vibraphone-saito-vs-4000dc-4-octaves-1-3	Vibraphone SAITO VS 4000DC 4 octaves 1/3, la2-do7 (ancien modèle) - Vibraphones - Instruments de percussion
7949	VIB 40SA4000	vibraphones	vibraphone-saito-vs-4000dc-4-octaves	Vibraphone SAITO VS 4000DC 4 octaves, do3-do6 (ancien modèle) - Vibraphones - Instruments de percussion
7950	VIB 30SA1500	vibraphones	vibraphone-saito-vs-1500dc-3-octaves	Vibraphone SAITO VS 1500DC 3 octaves fa3-fa6clavier doré avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
7951	VIB 30SA180	vibraphones	vibraphone-saito-vs-180dc-3-octaves	Vibraphone SAITO VS 180DC 3 octaves fa3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
7952	GLO 25SAD4	glockenspiels	glockenspiel-saito-d4-2-octaves-1-2-fa5-do8	glockenspiel valise SAITO D4 - Glockenspiels - Instruments de percussion
7953	GLO 25SASG100	glockenspiels	glockenspiel-saito-sg100-pro-set-2-octaves-1-2-fa5-do8	Glockenspiel Saito SG100 Pro Set,  2 oct. 1/2 - Glockenspiels - Instruments de percussion
8066	XYL 35YA135	xylophones	xylophone-yamaha-yx-135-modele-conservatoire-3-octaves-1-2	Xylophone YAMAHA YX-⁠135 3 octaves 1/2, padouk - Xylophones - Instruments de percussion
8067	XYL 30YA30	xylophones	xylophone-d-etude-yamaha-yx-30g-3-octaves	Xylophone d'étude YAMAHA Etude 3 octaves do5-do8, Clavier Padouk - Xylophones - Instruments de percussion
8180	MAR 30ADACAD	marimbas	marimba-d-etude-adams-solist-academy-3-octaves	Marimba ADAMS MSLD30 Academy 3 octaves do3-do6, Clavier Padouk - Marimbas - Instruments de percussion
8229	MAR 50M4BTVAN	marimbas	marimba-marimba-one-serie-izzy-4-octaves-2-3	Marimba MARIMBA ONE SERIE IZZY 5 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
8230	MAR 50MO9305	marimbas	marimba-marimba-one-serie-3000-5-octaves	Marimba MARIMBA ONE #9305 SERIE 31005 octaves do2-do7, Clavier Palissandre du Honduras Enhanced - Marimbas - Instruments de percussion
8305	XYL 40ADXAHV	xylophones	xylophone-adams-artist-voyager-4-octavec-palissandre	Xylophone ADAMS Artist Voyager 4 octaves, Palissandre du Honduras (demo) - Xylophones - Instruments de percussion
8321	CLT 3013 04	cloches-tubes	extension-cloches-tubes-adams-synphonic-chrome-1-2-octave	Extensions ADAMS pour cloche-tubes ADAMS Symphonic 1 octave 1/2 laiton chromé - Cloches-tubes - Instruments de percussion
8510	MAR 50M4BEVAN	marimbas	marimba-marimba-one-serie-4000-basso-bravo-clavier-enhanced-5-octaves	Marimba MARIMBA ONE SERIE 4000 5 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
8524	GLO 35CO8001	glockenspiels	glockenspiel-concorde-g8001-3-octaves-1-2-do5-fa8	Glockenspiel à pédale CONCORDE G8001, 3 octaves 1/2 Do5-Fa8 - Glockenspiels - Instruments de percussion
8541	XYL 35STRXC30	xylophones	xylophone-studio-49-concert-3-octaves-1-2-modele	Xylophone STUDIO 49 Concert  3 octaves 1/2, fa4-do8 Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
8542	XYL 40STRXC40	xylophones	xylophone-studio-49-concert-4-octaves	Xylophone STUDIO 49   4 octaves, do4-do8 Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
8588	MAR 50ADAHA5	marimbas	marimba-adams-artist-alpha-5-octaves	Marimba ADAMS Artist Alpha 5 octaves, Palissandre du Honduras - Marimbas - Instruments de percussion
8598		marimbas	marimba-musser-practice-3-octaves	
8616	MAR AHC5EXTEN	marimbas	kit-adams-convertir-marimba-ahc5-ahc43	Kit ADAMS pour convertir un marimba AHC5 en AHC43 - Marimbas - Instruments de percussion
8746	MAR 43CO4003G	marimbas	marimba-concorde-4003g-4-octaves-1-3	Marimba CONCORDE M4003 GA4 octaves 1/3 la2-do7, Clavier Padouk - Marimbas - Instruments de percussion
8813		xylophones	xylophone-adams-solist-voyager-3-octaves-1-2-palissandre	
8841		vibraphones	vibraphone-adams-artist-3-octaves	
8842	VIB 30ADA200G	vibraphones	vibraphone-adams-concert-3-octaves-clavier-dore	Vibraphone ADAMS Concert 3 octaves fa3-fa6clavier doré avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
9064	VIB 31ADSVS	vibraphones	vibraphone-adams-solist-3-1-octaves-avec-moteur	Vibraphone ADAMS VSWV31 Solist 3.1 octaves mi3-fa6Clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
9065	VIB 30ADCVS	vibraphones	vibraphone-adams-concert-3-octaves-avec-moteur	Vibraphone ADAMS VCWV30 Concert 3 octaves fa3-fa6Clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
9066	VIB 30ADCVG	vibraphones	vibraphone-adams-concert-3-octaves	Vibraphone ADAMS VCWV30 Artist 3 octaves fa3-fa6Clavier doré avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
9070	CEL SM1055	celestas	celesta-schiedmayer-studio-5-octaves-1-2-do3-fa9	Célesta SCHIEDMAYER Studio, 5 octaves 1/2 Do3-Fa8 (notation internationale) - Célestas - Instruments de percussion
9071	CEL SM1054	celestas	celesta-schiedmayer-compact-5-octaves-1-2-do3-fa8	Célesta SCHIEDMAYER Compact, 5 octaves 1/2 Do3-Fa8 (notation internationale) - Célestas - Instruments de percussion
9072	CEL SM1051	celestas	celesta-schiedmayer-5-octaves-do3-fa8	Célesta SCHIEDMAYER Compact, 5 octaves Do3-Do8 (notation internationale) - Célestas - Instruments de percussion
9073		celestas	celesta-schiedmayer-5-octaves-fa3-fa8	
9132	MAR 43CO6001G	marimbas	marimba-concorde-6001g-4-octaves-1-3	Marimba CONCORDE M6001 GA4 octaves 1/3 la2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
9138	VIB 30ADATS	vibraphones	vibraphone-adams-artist-3-octaves	Vibraphone ADAMS VAWT30 Artist 3 octaves fa3-fa6Clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
